,Date de publication,Intitulé du poste,Compétences,Lieu,Salaire minimum,Salaire maximum,Type de contrat,Nom de la société,Poste,Poste_class,Niveau
90,2023-01-08,Technicien de maintenance et support utilisateurs H/F,"maintenance, support, securité, réseau, cloud",guyancourt,,,CDI,spie ics,Operationnel,Support,Technicien
91,2022-12-25,IT EXPERT SOLUTIONS (MDM) H/F,"si, talend, data management, support, test",moussy,,,CDI,tereos,Other,Other,Expert
92,2022-12-16,STAGE BI Analyste H/F - Juillet 2019,"outils, support, video, decisionnel, data management",saint-ouen,,,CDI,danone,Business analyst,Business,Analyst
93,2022-12-29,Senior Data Scientist - Services H/F,"sql, data lab, machine learning, support, big data",île-de-france,,,CDI,safran,Data scientist,Data,Scientist
94,2023-01-04,Model Builder / Consultant fonctionnel Anaplan,"internet, support, support applicatif, design, moe",paris,,,CDI,criteo,Business intelligence,Business,Expert
95,2023-01-14,Ingénieur Réseau/Sécurité H/F,"sécurité, securité, réseau, lan, support",paris,45000.0,60000.0,CDI,uniware global services,Cyber,Net,Ingénieur
96,2022-12-24,Manager Leader – Business Analyst Titres (H/F),"agile, scrum, moa, progiciel, système",île-de-france,,,CDI,natixis,Business analyst,Business,Managment
97,2023-01-14,Ingénieur Docker/Kubernetes/Jenkins/Ansible H/F,"devops, jenkins, outils, linux, infrastructure",neuilly-sur-seine,42000.0,60000.0,CDI,uniware global services,Other,Other,Ingénieur
98,2023-01-14,Ingénieur Virtualisation H/F,"support, vmware, python, javascript, securité",neuilly-sur-seine,40000.0,55000.0,CDI,uniware global services,Data ingenier,Data,Ingénieur
99,2023-01-10,Ingénieur Etudes et Développement Qlik H/F,"qlik, agile, qlikview, sql, support",île-de-france,,,CDI,direct energie,Developpement logiciel,Génie informatique,Ingénieur
100,2022-12-19,Post-Doctorant IA/Big Data H/F,"digital, big data, machine learning, intelligence artificielle, bases de données",paris,,,CDI,business&decision,Big Data,Data,Doctorant
101,2023-01-08,Responsable Développement Supply Chain (f/h) - CDI,"support, communication, big data, cloud, hadoop",lisses,57000.0,62000.0,CDI,fed it,Business other,Génie informatique,Managment
102,2023-01-14,Ingénieur Système VMWare H/F,"vmware, support, windows, microsoft, système",neuilly-sur-seine,40000.0,55000.0,CDI,uniware global services,Infrastructures,Net,Ingénieur
103,2022-12-16,Consultant BI junior - Direction Technique F/H,"business intelligence, big data, java, outils, sql",saint-germain-en-laye,,,CDI,trimane,Business intelligence,Business,Expert
104,2023-01-14,Ingénieur Cloud Opensource H/F,"cloud, saas, paas, iaas, infrastructure",paris,40000.0,60000.0,CDI,uniware global services,Ingenieurie cloud,Net,Ingénieur
105,2022-12-30,Application Engineer,"lattice, python, aix, design",le-plessis-robinson,,,CDI,csmunication&systemes,Developpement application,Génie informatique,Ingénieur
106,2022-12-26,Stage - Chargé d'intégration de nouvelles sources de données dans le datalake et transformation en PySpark-(H/F),"outils, si, langage, big data, python",fontenay-sous-bois,,,CDI,societe generale,Data other,Data,Stage/Alternance/Apprenti
107,2023-01-02,AGILE BUSINESS ANALYST-(H/F),"agile, data quality, big data, data management, méthodologie",fontenay-sous-bois,,,CDI,societe generale,Business analyst,Business,Analyst
108,2023-01-14,Ingénieur de Production $U H/F,"windows, unix, cft, réseau, outils",paris,40000.0,60000.0,CDI,uniware global services,Operationnel,Support,Ingénieur
109,2023-01-14,Ingénieur Réseau Cisco H/F,"réseau, cisco, réseau, sécurité, securité",paris,40000.0,60000.0,CDI,uniware global services,Infrastructures,Net,Ingénieur
110,2023-01-14,Conultant/Analyste Décisionnel ETL (Qlikview & Talend)- H/F,"sap, qlikview, etl, talend, qlik",antony,,,CDI,,Business analyst,Business,Analyst
111,2022-12-16,Chef de projet Data MOA – Banque des Territoires,"si, moa, moe, agile, outils",paris,,,CDI,caisse des depots,Chef de projet data,Data,Managment
112,2023-01-12,Apprenti Data Visualisation (H/F),"securité, sécurité, réseau, communication, outils",vélizy-villacoublay,,,Contrat d'apprentissage,thales services,Data viz,Data,Stage/Alternance/Apprenti
113,2022-12-18,Data Scientist,"machine learning, less, big data, hadoop, exchange",paris,,,CDI,criteo,Data scientist,Data,Scientist
114,2022-12-30,Alternance - Data Project Manager-(H/F),"si, data management, méthodologie, outils, machine learning",fontenay-sous-bois,,,CDI,societe generale,Data manager,Data,Managment
115,2023-01-13,Data scientist senior H/F,"marketing, python, java, intelligence artificielle, système",poissy,,,CDI,psa,Data scientist,Data,Scientist
116,2022-12-29,Architecte technique Big Data H/F,"big data, outils, système, hadoop, scala",île-de-france,,,CDI,safran,Big Data,Data,Architecte
117,2022-12-29,Senior Data Scientist - Manufacturing H/F,"sql, data lab, machine learning, big data, scala",île-de-france,,,CDI,safran,Data scientist,Data,Scientist
118,2022-12-16,Consultant QlikSense F/H,"big data, qlik, outils, business intelligence",île-de-france,,,CDI,trimane,Other,Other,Expert
119,2022-12-16,DCEO Cluster Manager,"maintenance, communication, infrastructure, design",paris,,,CDI,amazon,Other,Other,Managment
120,2022-12-19,Développeur VBA / Excel (H/F) – Paris (75),"vba, web, langage, t-sql, sql",paris,30000.0,50000.0,CDI,synchrone,Developpement logiciel,Génie informatique,Développeur
121,2022-12-16,Stage - Business Analyst IT - H/F,"java, infrastructure, angularjs, devops, big data",courbevoie,,,Stage,,Business analyst,Business,Analyst
122,2022-12-24,Business Analyst (H/F),"test, recette, validation, mobile, moa",île-de-france,,,CDI,infotel,Business analyst,Business,Analyst
123,2022-12-16,Consultant Confirmé Talend F/H,"talend, moa, recette, optimisation, outils",île-de-france,,,CDI,trimane,Business intelligence,Business,Expert
124,2022-12-24,Ingénieur études et développement PHP (H/F),"php, php5, javascript, angularjs, symfony",paris,,,CDI,infotel,Developpement web,Génie informatique,Ingénieur
125,2023-01-12,Ingénieurs MiddleWare H/F,"middleware, support, infrastructure, optimisation, python",paris,45000.0,60000.0,CDI,uniware global services,Middleware,Net,Ingénieur
126,2023-01-12,Architecte Infrastructure IT H/F,"infrastructure, support, si, système",paris,40000.0,60000.0,CDI,uniware global services,Infrastructures,Net,Architecte
127,2023-01-12,Ingénieur Cloud AWS H/F,"cloud, support, python, paas, securité",paris,38000.0,56000.0,CDI,uniware global services,Ingenieurie cloud,Net,Ingénieur
128,2023-01-05,Product Owner - vision 360 Tiers en environnement Big Data-(H/F),"big data, marketing, méthodologie, communication",la-defense,,,CDI,societe generale,Big Data,Data,Autre
129,2022-12-24,Stage - Assistant Maitrise d'ouvrage bancaire qualité des données-(H/F),"si, decisionnel, data quality",la-defense,,,CDI,societe generale,Data other,Data,Stage/Alternance/Apprenti
130,2022-12-29,Data/Software Engineer H/F,"bases de données, outils, linux, big data, python",île-de-france,,,CDI,safran,Data ingenier,Data,Ingénieur
131,2022-12-16,Consultant Sénior Cognos F/H,"cognos, framework, etl, big data, outils",île-de-france,,,CDI,trimane,Business intelligence,Business,Expert
132,2023-01-01,Expert technique H/F,"sécurité, securité, outils, windows, communication",paray-vieille-poste,,,CDD/Intérim,ergalis,Auditeur/Expert,Support,Expert
133,2022-12-29,Stage - Analyses de données sur la durée de vie des freins carbone H/F,"support, data management, big data, bases de données",île-de-france,,,Stage,safran,Data analyst,Data,Stage/Alternance/Apprenti
134,2022-12-21,Data manager H/F,"outils, digital, plm, support, moa",pantin,,,CDI,hermes,Data manager,Data,Managment
135,2022-12-29,Stage Ingénieur développement d'algorithmes d'analyse de données de vol H/F,"electronique, outils, validation, data management",île-de-france,,,Stage,safran,Data analyst,Data,Ingénieur
136,2022-12-19,2019-MOA-Data-30912 - Chef de projets MOA Data H/F,"moa, si, crm, support, agile",paris,,,CDI,groupama,Chef de projet data,Data,Managment
