Date de publication,Intitulé du poste,Compétences,Lieu,Salaire minimum,Salaire maximum,Type de contrat,Nom de la société
2023-01-01,DATA QUALITY MANAGER-(H/F),"data quality, marketing",fontenay-sous-bois,,,CDI,societe generale
2023-01-10,Chef de projets data - analytics H/F,"marketing, outils, digital, ux, mobile",gennevilliers,60000,70000,CDI,hays france
2023-01-06,Ingénieur Sécurité Cloud F/H,"securité, sécurité, cloud, si, iaas",puteaux,,,CDI,i-tracing
2023-01-14,CONTRÔLEUR DATA QUALITY - H/F,"data quality, sas, système, méthodologie, support",paris,,,CDI,banque de france
2022-12-24,FULL STACK WEB DATA VIZ-(H/F),"web, javascript, open source, d3, angularjs",fontenay-sous-bois,,,CDI,societe generale
2023-01-06,Architecte Sécurité Cloud F/H,"securité, sécurité, cloud, si, iaas",puteaux,,,CDI,i-tracing
2022-12-22,Developpeur Junior (H/F),"si, web, infrastructure, cloud, salesforce",levallois-perret,,,CDI,edifixio
2022-12-22,Consultant technico - fonctionnel Salesforce H/F,"si, cloud, salesforce, web, infrastructure",levallois-perret,,,CDI,edifixio
2023-01-11,Chef de projet informatique fonctionnel BI,"t-sql, recette, sql, database, maintenance",tilly,,,CDI,chronopost
2023-01-09,Apprenti(e) – Assistant(e) décisionnel Business Intelligence/Big Data H/F,"big data, decisionnel, système, support, business intelligence",tremblay-en-france,,,Contrat d'apprentissage,air france
2023-01-13,2018-788 - Stage - Data et Monétisation H/F,"digital, support, sql, outils, marketing",neuilly-sur-seine,,,CDI,m6
2022-12-22,Développeur Full Stack (H/F),"si, web, salesforce, infrastructure, html5",île-de-france,,,CDI,edifixio
2023-01-08,Technicien de maintenance et support utilisateurs H/F,"maintenance, support, securité, réseau, cloud",guyancourt,,,CDI,spie ics
2022-12-25,IT EXPERT SOLUTIONS (MDM) H/F,"si, talend, data management, support, test",moussy,,,CDI,tereos
2022-12-16,STAGE BI Analyste H/F - Juillet 2019,"outils, support, video, decisionnel, data management",saint-ouen,,,CDI,danone
2022-12-29,Senior Data Scientist - Services H/F,"sql, data lab, machine learning, support, big data",île-de-france,,,CDI,safran
2023-01-04,Model Builder / Consultant fonctionnel Anaplan,"internet, support, support applicatif, design, moe",paris,,,CDI,criteo
2023-01-14,Ingénieur Réseau/Sécurité H/F,"sécurité, securité, réseau, lan, support",paris,45000,60000,CDI,uniware global services
2022-12-24,Manager Leader – Business Analyst Titres (H/F),"agile, scrum, moa, progiciel, système",île-de-france,,,CDI,natixis
2023-01-14,Ingénieur Docker/Kubernetes/Jenkins/Ansible H/F,"devops, jenkins, outils, linux, infrastructure",neuilly-sur-seine,42000,60000,CDI,uniware global services
2023-01-14,Ingénieur Virtualisation H/F,"support, vmware, python, javascript, securité",neuilly-sur-seine,40000,55000,CDI,uniware global services
2023-01-10,Ingénieur Etudes et Développement Qlik H/F,"qlik, agile, qlikview, sql, support",île-de-france,,,CDI,direct energie
2022-12-19,Post-Doctorant IA/Big Data H/F,"digital, big data, machine learning, intelligence artificielle, bases de données",paris,,,CDI,business&decision
2023-01-08,Responsable Développement Supply Chain (f/h) - CDI,"support, communication, big data, cloud, hadoop",lisses,57000,62000,CDI,fed it
2023-01-14,Ingénieur Système VMWare H/F,"vmware, support, windows, microsoft, système",neuilly-sur-seine,40000,55000,CDI,uniware global services
2022-12-16,Consultant BI junior - Direction Technique F/H,"business intelligence, big data, java, outils, sql",saint-germain-en-laye,,,CDI,trimane
2023-01-14,Ingénieur Cloud Opensource H/F,"cloud, saas, paas, iaas, infrastructure",paris,40000,60000,CDI,uniware global services
2022-12-30,Application Engineer,"lattice, python, aix, design",le-plessis-robinson,,,CDI,csmunication&systemes
2022-12-26,Stage - Chargé d'intégration de nouvelles sources de données dans le datalake et transformation en PySpark-(H/F),"outils, si, langage, big data, python",fontenay-sous-bois,,,CDI,societe generale
2023-01-02,AGILE BUSINESS ANALYST-(H/F),"agile, data quality, big data, data management, méthodologie",fontenay-sous-bois,,,CDI,societe generale
2023-01-14,Ingénieur de Production $U H/F,"windows, unix, cft, réseau, outils",paris,40000,60000,CDI,uniware global services
2023-01-14,Ingénieur Réseau Cisco H/F,"réseau, cisco, réseau, sécurité, securité",paris,40000,60000,CDI,uniware global services
2023-01-14,Conultant/Analyste Décisionnel ETL (Qlikview & Talend)- H/F,"sap, qlikview, etl, talend, qlik",antony,,,CDI,
2022-12-16,Chef de projet Data MOA – Banque des Territoires,"si, moa, moe, agile, outils",paris,,,CDI,caisse des depots
2023-01-12,Apprenti Data Visualisation (H/F),"securité, sécurité, réseau, communication, outils",vélizy-villacoublay,,,Contrat d'apprentissage,thales services
2022-12-18,Data Scientist,"machine learning, less, big data, hadoop, exchange",paris,,,CDI,criteo
2022-12-30,Alternance - Data Project Manager-(H/F),"si, data management, méthodologie, outils, machine learning",fontenay-sous-bois,,,CDI,societe generale
2023-01-13,Data scientist senior H/F,"marketing, python, java, intelligence artificielle, système",poissy,,,CDI,psa
2022-12-29,Architecte technique Big Data H/F,"big data, outils, système, hadoop, scala",île-de-france,,,CDI,safran
2022-12-29,Senior Data Scientist - Manufacturing H/F,"sql, data lab, machine learning, big data, scala",île-de-france,,,CDI,safran
2022-12-16,Consultant QlikSense F/H,"big data, qlik, outils, business intelligence",île-de-france,,,CDI,trimane
2022-12-16,DCEO Cluster Manager,"maintenance, communication, infrastructure, design",paris,,,CDI,amazon
2022-12-19,Développeur VBA / Excel (H/F) – Paris (75),"vba, web, langage, t-sql, sql",paris,30000,50000,CDI,synchrone
2022-12-16,Stage - Business Analyst IT - H/F,"java, infrastructure, angularjs, devops, big data",courbevoie,,,Stage,
2022-12-24,Business Analyst (H/F),"test, recette, validation, mobile, moa",île-de-france,,,CDI,infotel
2022-12-16,Consultant Confirmé Talend F/H,"talend, moa, recette, optimisation, outils",île-de-france,,,CDI,trimane
2022-12-24,Ingénieur études et développement PHP (H/F),"php, php5, javascript, angularjs, symfony",paris,,,CDI,infotel
2023-01-12,Ingénieurs MiddleWare H/F,"middleware, support, infrastructure, optimisation, python",paris,45000,60000,CDI,uniware global services
2023-01-12,Architecte Infrastructure IT H/F,"infrastructure, support, si, système",paris,40000,60000,CDI,uniware global services
2023-01-12,Ingénieur Cloud AWS H/F,"cloud, support, python, paas, securité",paris,38000,56000,CDI,uniware global services
2023-01-05,Product Owner - vision 360 Tiers en environnement Big Data-(H/F),"big data, marketing, méthodologie, communication",la-defense,,,CDI,societe generale
2022-12-24,Stage - Assistant Maitrise d'ouvrage bancaire qualité des données-(H/F),"si, decisionnel, data quality",la-defense,,,CDI,societe generale
2022-12-29,Data/Software Engineer H/F,"bases de données, outils, linux, big data, python",île-de-france,,,CDI,safran
2022-12-16,Consultant Sénior Cognos F/H,"cognos, framework, etl, big data, outils",île-de-france,,,CDI,trimane
2023-01-01,Expert technique H/F,"sécurité, securité, outils, windows, communication",paray-vieille-poste,,,CDD/Intérim,ergalis
2022-12-29,Stage - Analyses de données sur la durée de vie des freins carbone H/F,"support, data management, big data, bases de données",île-de-france,,,Stage,safran
2022-12-21,Data manager H/F,"outils, digital, plm, support, moa",pantin,,,CDI,hermes
2022-12-29,Stage Ingénieur développement d'algorithmes d'analyse de données de vol H/F,"electronique, outils, validation, data management",île-de-france,,,Stage,safran
2022-12-19,2019-MOA-Data-30912 - Chef de projets MOA Data H/F,"moa, si, crm, support, agile",paris,,,CDI,groupama
2022-12-22,Développeur Big Data / Python (H/F),"python, maintenance, support, sécurité, big data",île-de-france,,,CDI,engie
2023-01-08,Alternance - Assistant marketing private market-(H/F),"marketing, si, support, data management, réseau",colombes,,,CDI,societe generale
2023-01-14,Architecte Poste de Travail H/F,"poste de travail, microsoft, support, cloud, infrastructure",paris,50000,70000,CDI,uniware global services
2023-01-12,Ingénieur de production Cloud H/F,"cloud, securité, devops, sécurité, si",paris,50000,60000,CDI,uniware global services
2023-01-12,Ingénieur Réseaux et Sécurité H/F,"réseau, sécurité, securité, infrastructure, wan",paris,38000,55000,CDI,uniware global services
2022-12-16,Ingénieur QA H/F,"digital, devops, web, android, open source",paris,,,CDI,kisio
2023-01-01,Stage Ingénieur développement d'algorithmes d'analyse de données de vol H/F,"electronique, outils, validation, data management",île-de-france,,,Stage,safran
2023-01-12,Ingénieurs de Production Unix/Linux/Windows H/F,"linux, unix, windows, hp, infrastructure",paris,38000,55000,CDI,uniware global services
2022-12-19,Networking Cloud Support Engineer AWS,"support, cloud, network, linux, windows",courbevoie,,,CDI,amazon
2023-01-12,Ingénieur Systèmes Linux / DevOps H/F,"linux, devops, infrastructure, mongodb, apache",paris,,,CDI,uniware global services
2022-12-26,Ingénieur DevOps H/F,"devops, outils, linux, infrastructure, jenkins",paris,40000,60000,CDI,uniware global services
2022-12-16,Alternance - Bigdata DataScience - H/F,"réseau, si, infrastructure, réseau, big data",palaiseau,,,Contrat de professionnalisation,edf france
2023-01-14,Ingénieur de production Cloud H/F,"cloud, devops, sécurité, securité, sql server",neuilly-sur-seine,45000,60000,CDI,uniware global services
2022-12-25,Ingénieur/développeur en IA,"intelligence artificielle, outils, réseau, machine learning, big data",paris,,,CDI,iliad-free
2022-12-19,Consultant(e) Web Analyst H/F,"digital, web, outils, javascript, recette",paris,,,CDI,business&decision
2022-12-26,Chef de projet CRM H/F,"crm, web, marketing, design, pack office",seine-saint-denis,,,CDI,printemps
2022-12-25,Développeur Java / J2ee (H/F) – Paris (75),"java, j2ee, web, jboss, sécurité",paris,45000,65000,CDI,synchrone
2022-12-29,Stage - Ingénierie Linguistique : détection de similarité sémantique - H/F,"outils, python, langage, si, git",palaiseau,,,Stage,edf france
2023-01-06,Développeur cloud interne d'Orange France,"cloud, si, iaas, windows, saas",île-de-france,,,CDI,orange
2023-01-14,Ingénieur Cloud Azure H/F,"cloud, web, devops, python, infrastructure",neuilly-sur-seine,40000,60000,CDI,uniware global services
2022-12-16,CDI Chef de projet BI H/F,"outils, decisionnel, support, business objects, business intelligence",paris,,,CDI,tf1
2022-12-25,Développeur Angular (H/F) – Paris (75),"angularjs, agile, web, framework, outils",paris,30000,50000,CDI,synchrone
2023-01-14,Assistant chef de projet Social Media (paris sportifs) H/F,"réseau sociaux, réseau, outils, acquisition, jquery",boulogne-billancourt,,,Stage,francaise des jeux
2022-12-30,Alternance - Ingénieur Etude et Développement-(H/F),"si, java, support, angularjs, outils",fontenay-sous-bois,,,CDI,societe generale
2022-12-16,Développeur iOS H/F,"digital, ios, android, swift, web",paris,,,CDI,kisio
2022-12-16,Développeur Backend C++/Python H/F,"digital, c++, devops, python, web",paris,,,CDI,kisio
2023-01-14,Expert Middleware H/F,"middleware, weblogic, unix, support, tomcat",paris,40000,60000,CDI,uniware global services
2022-12-22,Expert Protection des Données Personnelles et Digitales H/F,"si, sécurité, data management, securité, réseau",île-de-france,,,CDI,grtgaz
2022-12-19,Consultant(e) confirmé SAS / BI H/F,"sas, digital, dataiku",paris,,,CDI,business&decision
2022-12-29,Stage - Data Engineer H/F,"support, python, sql, hadoop, big data",île-de-france,,,Stage,safran
2023-01-08,Stage : Modélisation de bus numériques dans l'outil PLM 3DExperience,"plm, outils, système, cloud, communication",île-de-france,,,Stage,dassault aviation
2022-12-16,Architecte Technique Senior - SQUADEASY,"outils, swift, android, si, unix",paris,,,CDI,paris&co
2022-12-21,IS Analyst Customer Service (Danone IS/IT for Sales applications),"support, sap, cloud, agile, middleware",saint-ouen,,,CDI,danone
2022-12-18,Stage Marketing/Statistique sur le pricing de nos produits- H/F,"marketing, iaas, paas, saas",paris,,,Stage,cegid
2023-01-05,TECHNICAL LEADER SENIOR HADOOP / BIG DATA-(H/F),"hadoop, agile, maintenance, scala, système",fontenay-sous-bois,,,CDI,societe generale
2023-01-02,Consultant Avant-Vente Sauvegarde F/H,"cloud, unix, aix, ux, support",île-de-france,,,CDI,vinci
2023-01-14,CHEF DE PROJETS IT DIGITAUX F/H,"marketing, optimisation, c, exchange, digital",paris,,,CDI,cdiscount
2023-01-12,Ingénieur Système Unix/Linux H/F,"linux, unix, système, infrastructure, support",paris,38000,55000,CDI,uniware global services
2022-12-29,Ingénieur développement logiciel embarqué H/F,"test, linux, windows, sécurité, securité",île-de-france,,,CDI,safran
2022-12-16,Ingénieur Support Applicatif F/H,"digital, support, devops, web, android",paris,,,CDI,kisio
2022-12-24,Correspondant(e) à la Protection des Données personnelles-(H/F),"communication, outils, digital",la-defense,,,CDI,societe generale
2023-01-09,Apprenti(e) – Business Analyst AMOA (Information Management Office - IMO) H/F,"marketing, digital, agile, outils, database",paris,,,Contrat d'apprentissage,air france
2022-12-29,Ingénieur Traitements de données H/F,"outils, qt, c++, linux, windows",île-de-france,,,CDI,safran
2022-12-16,"Responsable Technique Web - Poste en interne (client final réputé) - Projet de transformation –Grand Groupe, Paris, CDI 65-70 k€","web, spring, si, sécurité, digital",paris,65000,70000,CDI,mr search
2023-01-01,Ingénieur Logiciel - JAVA H/F,"java, support, outils, c++, système",bagneux,,,CDI,naval
2022-12-18,Alternance - Datascientist junior - H/F,"réseau, machine learning, outils, sas, big data",nanterre,,,Contrat de professionnalisation,edf france
2022-12-25,Ingénieur Etudes et Développement BI (stagiaire) F/H,"java, outils, decisionnel, t-sql, sql",saint-germain-en-laye,,,Stage,trimane
2023-01-02,Analyste fonctionnel SAP SD F/H,"sap, communication, outils, business intelligence, système",île-de-france,,,CDI,vinci
2023-01-09,Assistant(e) comptable-(H/F),,fontenay-sous-bois,,,CDI,societe generale
2023-01-05,Spécialiste Modélisation Dynamique de la performance Atelier Montage H/F,"outils, système",vélizy-villacoublay,,,CDI,psa
2022-12-29,Référent(e) Conformité Regulatory Expertise Oversight / Responsable Data Protection et Digital-(H/F),"digital, communication, support, réseau",la-defense,,,CDI,societe generale
2022-12-18,Ingénieur d'affaires IT Grands Comptes Paris H/F,"iaas, paas, saas, système, progiciel",paris,,,CDI,cegid
2022-12-29,Stage Tableau de bord 'data centric' pour le pilotage activités de vérification H/F,"test, support",île-de-france,,,Stage,safran
2023-01-07,Ingénieur Cyber-sécurité produit H/F,"sécurité, securité, c++, réseau, validation",île-de-france,,,CDI,safran
2023-01-01,ALTERNANT - Concepteur logiciel H/F,"java, système, serveur, outils, uml",bagneux,,,CDI,naval
2022-12-26,Chef de projet recette H/F,"recette, outils, e-commerce, support",île-de-france,,,CDI,printemps
2022-12-26,Chef de Projets Recette H/F,"recette, e-commerce, outils, marketing, support",paris,,,CDI,printemps
2023-01-01,ALTERNANCE - Concepteur logiciel H/F,"java, système",bagneux,,,CDI,naval
2023-01-14,Equity Pricing Library Project Manager (H/F),"support, outils, progiciel, si, sécurité",île-de-france,,,CDI,natixis
2023-01-02,Ingénieur Avant-Vente F/H,"communication, agile, si, réseau, securité",nanterre,,,CDI,vinci
2023-01-02,Technicien Informatique – Centre de Support F/H,"support, sap, windows, communication, itil",saint-denis,,,CDI,vinci
2023-01-05,Alternance - Assistant Knowledge User Experience-(H/F),"outils, design, si, marketing, illustrator",la-defense,,,CDI,societe generale
2023-01-01,Concepteur logiciel H/F,"c++, c, java, système, support",bagneux,,,CDI,naval
2023-01-13,Alternance - Chargé de Sécurité et Risque Opérationnel Infrastructure IT Reseau-(H/F),"sécurité, securité, réseau, infrastructure, firewall",fontenay-sous-bois,,,CDI,societe generale
2022-12-24,Référent Applicatif - Expert ICM (H/F),"support, recette, sql, maintenance, outils",île-de-france,,,CDI,natixis
2022-12-30,DEVELOPPEUR AGILE-(H/F),"agile, sql, support, python, bootstrap",courbevoie,,,CDI,societe generale
2022-12-24,TECHNICAL LEADER H/F-(H/F),"agile, sql, support, python, bootstrap",fontenay-sous-bois,,,CDI,societe generale
2022-12-25,AUDITEUR INTERNE - FILIERE RISQUES-(H/F),"sécurité, securité, communication, méthodologie",la-defense,,,CDI,societe generale
2023-01-14,Internship: Root Cause Analysis in complex distributed systems (H/F),"cloud, réseau, système, infrastructure, c++",nozay,,,CDI,nokia
2023-01-02,DEVELOPPEUR AGILE-(H/F),"agile, sql, support, python, bootstrap",la-defense,,,CDI,societe generale
2022-12-24,DEVELOPPEUR AGILE-(H/F),"agile, sql, support, python, bootstrap",la-defense,,,CDI,societe generale
2022-12-16,Ingénieur Systèmes Windows H/F,"système, windows, microsoft, cloud, maintenance",nanterre,45000,55000,CDI,experteam
2022-12-24,Lead Developer – Expert Java Full Stack (H/F),"java, soa, json, si, git",île-de-france,,,CDI,natixis
2023-01-01,ALTERNANCE - Concepteur logiciel H/F,"système, uml, outils, java, xml",bagneux,,,CDI,naval
2022-12-24,Concepteur Développeur (H/F),"outils, .net, vba, c#, windows",île-de-france,,,CDI,natixis
2022-12-24,Architecte Technique-(H/F),"si, securité, sécurité, big data, cloud",fontenay-sous-bois,,,CDI,societe generale
2022-12-25,Alternance - Chargé d'Etudes et Développement Informatique Java - Bigdata-(H/F),"si, java, support, big data, agile",fontenay-sous-bois,,,CDI,societe generale
2022-12-23,Consultant MSBI (H/F),"sap, si, moa, informatica, maintenance",nanterre,,,CDD/Intérim,aladium
2023-01-01,Architecte Cybersécurité H/F,"securité, sécurité, système, réseau",bagneux,,,CDI,naval
2022-12-24,Stage - Développeur / Software Craftsmanship-(H/F),"outils, web, si, sql, sql server",la-defense,,,CDI,societe generale
2023-01-01,ALTERNANCE - Concepteur logiciel H/F,"c++, java, système, c, test",bagneux,,,CDI,naval
2023-01-01,Architecte logiciel H/F,"système, support, validation, securité, outils",bagneux,,,CDI,naval
2023-01-12,Expert Infrastructures-(H/F),"sécurité, si, support, securité, réseau",fontenay-sous-bois,,,CDI,societe generale
2022-12-29,Expert Infrastructures Scheduling-(H/F),"python, support, shell, sécurité, linux",la-defense,,,CDI,societe generale
2022-12-29,Référent Applicatif Business Intelligence Bi4 H/F,"sap, outils, système, si, business intelligence",île-de-france,,,CDI,safran
2023-01-01,Concepteur logiciel H/F,"système, outils, sécurité, support, securité",bagneux,,,CDI,naval
